"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 06:00","2012","07","05","06:00","9.8","","7.4","","85","","","","18","","4","","64.4","","89.34","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 07:00","2012","07","05","07:00","12.5","","9.2","","80","","","","","","0","","64.4","","89.34","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 08:00","2012","07","05","08:00","13.9","","9.0","","72","","","","18","","7","","64.4","","89.33","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 09:00","2012","07","05","09:00","15.7","","9.5","","67","","","","18","","11","","64.4","","89.31","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 10:00","2012","07","05","10:00","16.8","","9.8","","63","","","","16","","13","","64.4","","89.32","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 11:00","2012","07","05","11:00","17.8","","10.3","","61","","","","17","","17","","64.4","","89.28","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 12:00","2012","07","05","12:00","18.6","","9.9","","57","","","","14","","17","","64.4","","89.24","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 13:00","2012","07","05","13:00","19.6","","8.8","","50","","","","15","","22","","64.4","","89.24","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 14:00","2012","07","05","14:00","20.0","","9.3","","50","","","","12","","24","","64.4","","89.23","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 15:00","2012","07","05","15:00","19.6","","9.0","","50","","","","12","","20","","64.4","","89.20","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 16:00","2012","07","05","16:00","20.7","","10.1","","51","","","","11","","22","","64.4","","89.17","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 17:00","2012","07","05","17:00","19.6","","9.9","","53","","","","11","","20","","64.4","","89.11","","","","","","Thunderstorms"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 18:00","2012","07","05","18:00","12.4","","10.1","","86","","","","8","","17","","48.3","","89.20","","","","","","Thunderstorms"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 19:00","2012","07","05","19:00","15.0","","11.9","","82","","","","10","","7","","48.3","","89.22","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 20:00","2012","07","05","20:00","15.4","","11.2","","76","","","","9","","9","","48.3","","89.25","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 21:00","2012","07","05","21:00","13.2","","10.4","","83","","","","2","","15","","48.3","","89.34","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 22:00","2012","07","05","22:00","12.2","","9.2","","82","","","","36","","15","","25.0","","89.42","","","","","","Rain Showers"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-05 23:00","2012","07","05","23:00","11.0","","8.3","","83","","","","36","","13","","25.0","","89.45","","","","","","Thunderstorms"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 00:00","2012","07","06","00:00","10.6","","7.8","","83","","","","32","","17","","25.0","","89.48","","","","","","Thunderstorms"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 01:00","2012","07","06","01:00","10.2","","7.5","","83","","","","30","","11","","25.0","","89.54","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 02:00","2012","07","06","02:00","9.9","","7.3","","84","","","","34","","9","","25.0","","89.56","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 03:00","2012","07","06","03:00","10.2","","8.0","","86","","","","30","","7","","25.0","","89.57","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 04:00","2012","07","06","04:00","9.9","","8.0","","88","","","","36","","6","","25.0","","89.61","","","","","","Mostly Cloudy"
